ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
-0.3168424,0.40365002,-0.34093878,0.36311734,0,10.0,-2.6312375,0.1,-44.1,500.0,0.29619526863098145,5.114380121231079,28.95969581604004,253.37716031074524,2500,-0.7887032,0.03468396,50.0,0.22,-39.66,2500.0,1.0218375,1.0793173,1.0419492,-0.17977434,0.42443168,-0.34096977,0.36440623
-0.20423733,0.46246147,-0.20092694,0.46421215,1,20.0,-2.8446026,0.4,-30.0,1000.0,0.30765342712402344,5.03147292137146,28.421406269073486,244.74146819114685,5000,-1.3332464,0.03188459,100.0,0.28,-41.4,5000.0,0.4655695,2.7084506,1.9009236,-0.18803534,0.45894814,-0.20063145,0.46449587
-0.14718808,0.48023236,-0.14536646,0.4820842,2,30.0,-5.302103,0.1,-44.7,1500.0,0.30092835426330566,4.9735658168792725,28.022980213165283,246.66329646110535,7500,-1.6406696,0.036021743,150.0,0.28,-37.62,7500.0,0.52818453,1.4705974,1.5383643,-0.12927687,0.4751281,-0.14676563,0.48248434
-0.1378491,0.47512725,-0.13669056,0.4728032,3,40.0,-8.316343,0.0,-49.0,2000.0,0.2989847660064697,4.977005958557129,28.010990142822266,244.8118326663971,10000,-1.7692109,0.03914959,200.0,0.44,-30.5,10000.0,0.54042375,1.5792215,1.741223,-0.115880415,0.48465544,-0.13804165,0.47366425
-0.13927624,0.46979952,-0.13919507,0.4640998,4,50.0,-6.3339105,0.3,-35.6,2500.0,0.28093957901000977,4.933954238891602,27.682830572128296,249.29426264762878,12500,-1.8241701,0.0435527,250.0,0.48,-30.1,12500.0,0.5598818,2.4600291,2.1885848,-0.114285715,0.48637974,-0.14166968,0.46431816
-0.13297838,0.46556464,-0.13202153,0.45847595,5,60.0,-7.31679,0.1,-44.2,3000.0,0.2883298397064209,4.944950819015503,27.5267276763916,249.0170590877533,15000,-1.8817179,0.04840686,300.0,0.44,-34.28,15000.0,0.6122581,2.1212447,1.793147,-0.11283665,0.48208496,-0.13397427,0.45885193
-0.13135213,0.46122193,-0.1322577,0.451446,6,70.0,-8.406017,0.2,-40.3,3500.0,0.2527925968170166,4.933077812194824,27.751272439956665,249.97348546981812,17500,-1.9536778,0.05381234,350.0,0.46,-32.36,17500.0,0.65331966,2.537042,2.296338,-0.10605061,0.48553377,-0.13379231,0.45125338
-0.12484057,0.45938635,-0.12858014,0.4479327,7,80.0,-8.201969,0.3,-38.0,4000.0,0.26459217071533203,4.847612619400024,27.6366765499115,247.70684623718262,20000,-2.0055616,0.05888567,400.0,0.48,-34.58,20000.0,0.6908147,4.157499,2.978649,-0.09524037,0.48627084,-0.12964875,0.44773203
-0.092595875,0.4640245,-0.09415949,0.45359403,8,90.0,-5.2146697,0.6,-25.5,4500.0,0.31476807594299316,4.916175365447998,28.021242380142212,249.27248454093933,22500,-1.992666,0.06627468,450.0,0.54,-33.06,22500.0,0.766145,2.150168,1.3253412,-0.07553529,0.48787123,-0.09536965,0.45347622
-0.06999721,0.46855173,-0.07041054,0.45859647,9,100.0,-6.63643,0.5,-28.5,5000.0,0.27463293075561523,4.921634197235107,27.064348697662354,250.11350870132446,25000,-1.9930656,0.068886235,500.0,0.44,-31.42,25000.0,0.7745304,3.005492,2.1404173,-0.059071463,0.48913532,-0.0716601,0.4584184
