ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
-0.011829263,0.42117897,-0.035689242,0.39230174,0,10.0,-2.7887692,0.1,-44.2,500.0,0.2643458843231201,4.795964956283569,21.789430141448975,254.94784426689148,2500,-0.84802794,0.034548722,50.0,0.12,-44.8,2500.0,0.0030602703,0.06508077,0.029430578,0.06489383,0.5098101,-0.037029184,0.39058313
-0.17997658,0.4554776,-0.22487354,0.4206972,1,20.0,-3.5846927,0.1,-44.4,1000.0,0.24996161460876465,4.810429096221924,21.70812487602234,251.54108905792236,5000,-1.0560658,0.027294166,100.0,0.22,-39.7,5000.0,0.0019081236,0.11118877,0.07451025,-0.0012737066,0.51642895,-0.22536573,0.4200408
-0.17302033,0.45121512,-0.22104847,0.4205479,2,30.0,-4.036535,0.2,-40.4,1500.0,0.26941490173339844,4.799199104309082,21.763031005859375,252.13837122917175,7500,-1.2319517,0.031468928,150.0,0.38,-35.98,7500.0,0.0035580758,0.24451165,0.22068861,0.002880253,0.50577116,-0.22139451,0.41989362
-0.13242799,0.44959643,-0.16620481,0.42672524,3,40.0,-6.1938148,0.2,-40.8,2000.0,0.2602400779724121,4.734925985336304,21.784161806106567,254.62544965744019,10000,-1.4409996,0.03660656,200.0,0.32,-32.4,10000.0,0.006729144,0.23144937,0.16281973,-0.0035009868,0.5061298,-0.16632566,0.42593527
-0.10189848,0.46542954,-0.12646756,0.44891715,4,50.0,-6.075898,0.1,-44.6,2500.0,0.2130568027496338,4.768689393997192,21.76887583732605,256.34934735298157,12500,-1.547319,0.043289267,250.0,0.4,-34.9,12500.0,0.0097368,0.22827224,0.1874159,-0.005415626,0.51223457,-0.12611604,0.44809148
-0.071547605,0.46027654,-0.0915619,0.44364148,5,60.0,-5.2935014,0.4,-33.0,3000.0,0.25516676902770996,4.7083234786987305,21.777194499969482,257.07916831970215,15000,-1.6598027,0.046976905,300.0,0.36,-32.86,15000.0,0.015287946,0.2859561,0.32681188,0.008697515,0.50499594,-0.09122415,0.44302315
-0.07978022,0.45118394,-0.10041027,0.4325767,6,70.0,-5.2753973,0.3,-35.2,3500.0,0.23243403434753418,4.75567626953125,21.929478883743286,260.84991455078125,17500,-1.7341149,0.05285669,350.0,0.44,-34.14,17500.0,0.022186976,0.43468383,0.36748883,0.00023983046,0.50258446,-0.10035011,0.43228036
-0.07263172,0.4533162,-0.09128328,0.43457407,7,80.0,-5.163038,0.3,-36.5,4000.0,0.2428884506225586,4.782546281814575,21.748914003372192,258.90645718574524,20000,-1.7882642,0.05649152,400.0,0.54,-33.1,20000.0,0.031698234,0.5641503,0.38242257,-5.9161335e-05,0.5048442,-0.091638595,0.43388754
-0.05254619,0.46160644,-0.06941826,0.44409865,8,90.0,-6.445529,0.3,-36.7,4500.0,0.2358851432800293,4.783113718032837,21.82395315170288,258.7124993801117,22500,-1.7876998,0.05958491,450.0,0.52,-31.02,22500.0,0.042670637,0.6945488,0.39300212,0.013055627,0.5075797,-0.06956549,0.44386685
-0.05050463,0.4619901,-0.066419505,0.44481316,9,100.0,-9.54846,0.2,-40.4,5000.0,0.24219870567321777,4.843815803527832,21.80785894393921,255.1916708946228,25000,-1.8045334,0.060263935,500.0,0.56,-29.08,25000.0,0.051771514,0.8399608,0.5808545,0.01228759,0.506593,-0.066395015,0.44444957
