ddpg/stats_g/mean,ddpg/stats_g/std,ddpg/stats_o/mean,ddpg/stats_o/std,epoch,test/episode,test/mean_Q,test/success_rate,test/sum_rewards,test/timesteps,time_eval,time_rollout,time_train,time_ve,timesteps,train/actor_loss,train/critic_loss,train/episode,train/success_rate,train/sum_rewards,train/timesteps,ve/loss,ve/stats_disag/mean,ve/stats_disag/std,ve/stats_g/mean,ve/stats_g/std,ve/stats_o/mean,ve/stats_o/std
0.028103894,0.49134138,0.034941636,0.47742692,0,10.0,-1.6759107,0.3,-35.4,500.0,0.2850360870361328,5.364561557769775,28.237749814987183,310.5792737007141,2500,-0.9231184,0.036643717,50.0,0.1,-44.82,2500.0,0.0035947792,0.12349443,0.047871612,-0.0190693,0.525545,0.0344299,0.47541094
0.13432214,0.43898427,0.1591717,0.41476548,1,20.0,-3.1342914,0.1,-44.2,1000.0,0.24912786483764648,5.324542760848999,27.97672176361084,310.65036511421204,5000,-1.2474915,0.027397877,100.0,0.32,-38.22,5000.0,0.0018716438,0.13853736,0.11013648,0.047731314,0.5052599,0.15791225,0.41365564
0.07989788,0.45671457,0.09023133,0.44115844,2,30.0,-4.4206963,0.2,-39.9,1500.0,0.2844574451446533,5.445719242095947,28.014439582824707,315.44500398635864,7500,-1.3823048,0.033352822,150.0,0.32,-36.02,7500.0,0.003344075,0.14352873,0.11833209,0.046351217,0.5061752,0.089794956,0.43987593
0.08185645,0.4481659,0.09152651,0.43251926,3,40.0,-5.5295978,0.1,-44.6,2000.0,0.2547633647918701,5.276838541030884,28.06900143623352,308.4490282535553,10000,-1.5101625,0.040203605,200.0,0.42,-34.74,10000.0,0.0058999504,0.21400903,0.22296703,0.050114773,0.492855,0.09147127,0.43138546
0.0819046,0.4492746,0.09126347,0.43279952,4,50.0,-4.5542517,0.3,-35.6,2500.0,0.26647114753723145,5.313151121139526,28.025517463684082,310.8255920410156,12500,-1.5483652,0.043115027,250.0,0.5,-30.08,12500.0,0.010729298,0.22098807,0.1897661,0.055735275,0.49577978,0.09095626,0.43183187
0.04373552,0.45272827,0.046541434,0.43669844,5,60.0,-7.0142593,0.2,-40.0,3000.0,0.24406075477600098,5.226948499679565,28.075813055038452,309.46737265586853,15000,-1.6526517,0.046493616,300.0,0.52,-32.48,15000.0,0.015429146,0.43265146,0.35748968,0.037994273,0.49811345,0.04652265,0.435531
0.038513627,0.4549228,0.039335262,0.44038785,6,70.0,-8.62481,0.2,-41.1,3500.0,0.2400650978088379,5.272446870803833,28.45791792869568,313.94226026535034,17500,-1.6863672,0.051647253,350.0,0.36,-35.94,17500.0,0.021255564,0.5609111,0.36126775,0.039904997,0.49716896,0.039450925,0.4387924
0.036305364,0.45226118,0.037255954,0.43597615,7,80.0,-8.485026,0.2,-39.2,4000.0,0.24960827827453613,5.333550453186035,27.868654251098633,305.041042804718,20000,-1.737686,0.056059998,400.0,0.46,-31.64,20000.0,0.030993206,0.5967645,0.4889967,0.036722913,0.49769145,0.037442062,0.4344684
0.023024948,0.4509603,0.023119526,0.43374342,8,90.0,-8.744433,0.4,-31.8,4500.0,0.26153993606567383,5.3883912563323975,27.761876583099365,315.4114143848419,22500,-1.8207794,0.060130864,450.0,0.34,-39.18,22500.0,0.040335283,0.64116585,0.443606,0.029803874,0.49902028,0.023102362,0.43228954
0.02043258,0.44725522,0.02178826,0.43031594,9,100.0,-8.339015,0.4,-30.5,5000.0,0.3035433292388916,5.207301378250122,27.686079025268555,309.53967928886414,25000,-1.8822353,0.06351847,500.0,0.48,-30.86,25000.0,0.0504307,0.95060927,0.5641444,0.023141235,0.49542886,0.022017423,0.42917645
